student_id,track_id,similarity,date,time,status
24AD095,1,0.554,2026-09-06,18:15:52,Present
24AD095,1,0.692,2026-09-06,18:17:18,Present
24AD095,1,0.723,2026-09-06,19:30:50,Present
24AD095,1,0.702,2026-09-06,19:34:32,Present
24AD095,2,0.659,2026-09-06,19:45:26,Present
24AD095,1,0.549,2026-09-06,19:46:49,Present
24AD095,1,0.646,2026-09-07,18:37:20,Present
24AD095,1,0.789,2026-09-07,18:39:04,Present
24AD095,1,0.665,2026-09-07,18:47:01,Present
24AD095,2,0.524,2026-09-07,18:58:27,Present
24AD095,1,0.740,2026-09-07,19:27:40,Present
24AD095,1,0.775,2026-09-08,12:06:04,Present
24AD095,2,0.748,2026-09-08,12:14:28,Present
24AD095,2,0.730,2026-09-08,12:18:01,Present
24AD095,1,0.602,2026-09-08,19:56:57,Present
24AD095,1,0.647,2026-09-08,20:23:55,Present
24AD095,1,0.725,2026-09-10,09:39:54,Present
24AD095,1,0.711,2026-09-21,19:34:12,Present
24AD095,1,0.719,2026-09-21,19:38:46,Present
24AD095,1,0.714,2026-09-21,19:55:33,Present
24AD095,1,0.668,2026-09-21,20:14:13,Present
24AD095,1,0.655,2026-09-21,20:22:17,Present
24AD095,1,0.653,2026-09-21,20:24:06,Present
24AD095,1,0.722,2026-09-21,20:27:42,Present
24AD095,1,0.649,2026-09-21,20:30:46,Present
24AD095,1,0.783,2026-09-21,20:34:37,Present
24AD095,1,0.762,2026-09-21,20:36:34,Present
24AD095,1,0.753,2026-09-21,20:39:42,Present
24AD095,1,0.778,2026-09-21,21:17:04,Present
24AD095,1,0.756,2026-09-21,21:21:04,Present
24AD095,1,0.739,2026-09-21,21:41:18,Present
24AD095,1,0.732,2026-09-21,21:51:10,Present
24AD095,1,0.723,2026-09-21,21:51:55,Present
24AD095,1,0.768,2026-09-21,22:14:01,Present
24AD095,1,0.615,2026-09-21,22:17:34,Present
